sector,fiscal_year,month,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions 
el paso,2015,december,921,101,45
el paso,2015,january,874,86,22
el paso,2015,february,859,83,19
el paso,2015,march,1455,103,67
el paso,2015,april,1516,187,149
el paso,2015,may,1335,155,118
el paso,2015,june,1410,174,144
el paso,2015,july,1417,206,213
el paso,2015,august,1436,196,185
el paso,2015,september,1444,208,209
el paso,2015,yearly total,14495,1662,1220
grand forks,2015,october,87,0,1
grand forks,2015,november,78,0,0
grand forks,2015,december,72,0,0
grand forks,2015,january,53,0,0
grand forks,2015,february,74,1,2
grand forks,2015,march,65,0,0
grand forks,2015,april,73,0,2
grand forks,2015,may,40,2,1
grand forks,2015,june,40,0,2
grand forks,2015,july,76,0,1
grand forks,2015,august,69,0,0
grand forks,2015,september,62,0,0
grand forks,2015,yearly total,789,3,9
havre,2015,october,5,0,0
havre,2015,november,3,0,0
havre,2015,december,3,0,0
havre,2015,january,3,0,0
havre,2015,february,10,0,0
havre,2015,march,6,0,0
havre,2015,april,5,0,0
havre,2015,may,3,0,0
havre,2015,june,2,0,0
havre,2015,july,2,0,0
havre,2015,august,18,0,0
havre,2015,september,4,0,0
havre,2015,yearly total,64,0,0
houlton,2015,october,1,0,0
houlton,2015,november,2,0,0
houlton,2015,december,8,0,0
houlton,2015,january,4,0,0
houlton,2015,february,6,0,0
houlton,2015,march,0,0,0
houlton,2015,april,3,1,0
houlton,2015,may,0,0,0
houlton,2015,june,0,0,0
houlton,2015,july,4,0,1
houlton,2015,august,2,0,0
houlton,2015,september,2,0,0
houlton,2015,yearly total,32,1,1
laredo,2015,october,3276,220,136
laredo,2015,november,2540,177,112
laredo,2015,december,2367,175,108
laredo,2015,january,2776,171,104
laredo,2015,february,2864,168,76
laredo,2015,march,3093,242,90
laredo,2015,april,3497,225,87
laredo,2015,may,3127,189,97
laredo,2015,june,2958,207,113
laredo,2015,july,3110,217,126
laredo,2015,august,3072,241,138
laredo,2015,september,3208,227,185
laredo,2015,yearly total,35888,2459,1372
livermore,2015,october,NA,NA,NA
livermore,2015,november,NA,NA,NA
livermore,2015,december,NA,NA,NA
livermore,2015,january,NA,NA,NA
livermore,2015,february,NA,NA,NA
livermore,2015,march,NA,NA,NA
livermore,2015,april,NA,NA,NA
livermore,2015,may,NA,NA,NA
livermore,2015,june,NA,NA,NA
livermore,2015,july,NA,NA,NA
livermore,2015,august,NA,NA,NA
livermore,2015,september,NA,NA,NA
livermore,2015,yearly total,NA,NA,NA
miami,2015,october,90,1,6
miami,2015,november,50,0,4
miami,2015,december,143,0,17
miami,2015,january,121,0,1
miami,2015,february,79,1,0
miami,2015,march,116,2,1
miami,2015,april,101,4,6
miami,2015,may,110,0,4
miami,2015,june,203,0,10
miami,2015,july,168,8,5
miami,2015,august,346,0,30
miami,2015,september,225,4,14
miami,2015,yearly total,1752,20,98
nationwide total,2015,october,26993,2522,2179
nationwide total,2015,november,25135,2616,2434
nationwide total,2015,december,25585,2862,2928
nationwide total,2015,january,21954,2123,1632
nationwide total,2015,february,24751,2390,2049
nationwide total,2015,march,30178,3130,2786
nationwide total,2015,april,30117,3279,3097
nationwide total,2015,may,31930,3951,3872
nationwide total,2015,june,29807,3840,4064
nationwide total,2015,july,28936,4193,4520
nationwide total,2015,august,30900,4639,5198
nationwide total,2015,september,30831,4490,5294
nationwide total,2015,yearly total,337117,40035,40053
new orleans,2015,october,115,1,3
new orleans,2015,november,98,1,3
new orleans,2015,december,100,3,8
new orleans,2015,january,79,5,1
new orleans,2015,february,78,3,3
new orleans,2015,march,35,1,0
new orleans,2015,april,39,1,0
new orleans,2015,may,75,4,1
new orleans,2015,june,71,4,2
new orleans,2015,july,72,3,1
new orleans,2015,august,32,0,3
new orleans,2015,september,55,0,0
new orleans,2015,yearly total,849,26,25
northern border,2015,october,283,1,8
northern border,2015,november,270,1,12
northern border,2015,december,291,1,12
northern border,2015,january,169,0,8
northern border,2015,february,206,1,5
northern border,2015,march,176,1,3
northern border,2015,april,183,1,2
northern border,2015,may,144,4,6
northern border,2015,june,191,3,9
northern border,2015,july,234,0,7
northern border,2015,august,274,1,6
northern border,2015,september,205,0,6
northern border,2015,yearly total,2626,14,84
ramey,2015,october,55,0,0
ramey,2015,november,76,4,0
ramey,2015,december,32,0,0
ramey,2015,january,71,0,0
ramey,2015,february,12,0,0
ramey,2015,march,60,0,0
ramey,2015,april,44,0,2
ramey,2015,may,25,0,0
ramey,2015,june,39,0,1
ramey,2015,july,74,0,4
ramey,2015,august,9,0,0
ramey,2015,september,60,1,1
ramey,2015,yearly total,557,5,8
rio grande valley,2015,october,12031,1547,1556
rio grande valley,2015,november,11466,1672,1809
rio grande valley,2015,december,11035,1701,1979
rio grande valley,2015,january,8425,1123,1091
rio grande valley,2015,february,9557,1289,1404
rio grande valley,2015,march,11817,1744,1834
rio grande valley,2015,april,12602,1864,2018
rio grande valley,2015,may,14103,2299,2584
rio grande valley,2015,june,13750,2368,2904
rio grande valley,2015,july,13719,2629,3106
rio grande valley,2015,august,14750,2895,3577
rio grande valley,2015,september,14002,2733,3547
rio grande valley,2015,yearly total,147257,23864,27409
san diego,2015,october,2133,74,119
san diego,2015,november,1924,56,123
san diego,2015,december,2280,106,185
san diego,2015,january,2111,71,129
san diego,2015,february,2466,89,126
san diego,2015,march,2876,111,176
san diego,2015,april,2284,102,133
san diego,2015,may,2308,96,159
san diego,2015,june,2081,82,102
san diego,2015,july,1985,83,85
san diego,2015,august,1883,116,111
san diego,2015,september,1959,98,102
san diego,2015,yearly total,26290,1084,1550
southwest border,2015,october,26450,2519,2162
southwest border,2015,november,24641,2610,2415
southwest border,2015,december,25019,2858,2891
southwest border,2015,january,21514,2118,1622
southwest border,2015,february,24376,2385,2041
southwest border,2015,march,29791,3126,2782
southwest border,2015,april,29750,3273,3087
southwest border,2015,may,31576,3943,3861
southwest border,2015,june,29303,3833,4042
southwest border,2015,july,28388,4182,4503
southwest border,2015,august,30239,4638,5159
southwest border,2015,september,30286,4485,5273
southwest border,2015,yearly total,331333,39970,39838
spokane,2015,october,24,0,0
spokane,2015,november,15,0,0
spokane,2015,december,10,0,0
spokane,2015,january,15,0,0
spokane,2015,february,23,0,0
spokane,2015,march,12,0,0
spokane,2015,april,15,0,0
spokane,2015,may,14,0,0
spokane,2015,june,7,0,0
spokane,2015,july,18,0,0
spokane,2015,august,13,0,0
spokane,2015,september,24,0,5
spokane,2015,yearly total,190,0,5
swanton,2015,october,26,0,3
swanton,2015,november,23,0,2
swanton,2015,december,25,0,8
swanton,2015,january,6,0,1
swanton,2015,february,19,0,1
swanton,2015,march,27,1,2
swanton,2015,april,14,0,0
swanton,2015,may,16,1,0
swanton,2015,june,35,0,0
swanton,2015,july,39,0,5
swanton,2015,august,68,0,2
swanton,2015,september,43,0,1
swanton,2015,yearly total,341,2,25
tucson,2015,october,5261,401,180
tucson,2015,november,5303,454,164
tucson,2015,december,5610,555,276
tucson,2015,january,4869,439,95
tucson,2015,february,5553,478,225
tucson,2015,march,6256,549,256
tucson,2015,april,5543,483,296
tucson,2015,may,6105,655,333
tucson,2015,june,5081,501,254
tucson,2015,july,4071,480,258
tucson,2015,august,4733,505,265
tucson,2015,september,5012,519,328
tucson,2015,yearly total,63397,6019,2930
yuma,2015,october,403,29,24
yuma,2015,november,425,23,35
yuma,2015,december,439,63,66
yuma,2015,january,339,54,50
yuma,2015,february,465,43,63
yuma,2015,march,768,85,103
yuma,2015,april,526,66,114
yuma,2015,may,653,123,203
yuma,2015,june,659,112,190
yuma,2015,july,834,159,303
yuma,2015,august,789,151,290
yuma,2015,september,842,182,293
yuma,2015,yearly total,7142,1090,1734
big bend,2014,october,316,18,4
big bend,2014,november,260,10,1
big bend,2014,december,241,15,8
big bend,2014,january,278,22,12
big bend,2014,february,522,24,11
big bend,2014,march,445,16,3
big bend,2014,april,403,18,7
big bend,2014,may,374,25,8
big bend,2014,june,414,30,28
big bend,2014,july,341,43,58
big bend,2014,august,302,23,25
big bend,2014,september,200,12,11
big bend,2014,yearly total,4096,256,176
blaine,2014,october,16,1,0
blaine,2014,november,22,0,0
blaine,2014,december,18,0,0
blaine,2014,january,29,1,3
blaine,2014,february,26,0,1
blaine,2014,march,19,0,0
blaine,2014,april,36,0,3
blaine,2014,may,27,0,6
blaine,2014,june,19,1,0
blaine,2014,july,28,0,2
blaine,2014,august,14,0,1
blaine,2014,september,18,0,0
blaine,2014,yearly total,272,3,16
buffalo,2014,october,58,0,0
buffalo,2014,november,39,0,0
buffalo,2014,december,52,1,0
buffalo,2014,january,36,0,1
buffalo,2014,february,47,0,0
buffalo,2014,march,87,1,2
buffalo,2014,april,64,1,2
buffalo,2014,may,81,2,0
buffalo,2014,june,54,1,0
buffalo,2014,july,79,0,2
buffalo,2014,august,97,0,4
buffalo,2014,september,47,1,1
buffalo,2014,yearly total,741,7,12
coastal border,2014,october,322,7,4
coastal border,2014,november,314,5,4
coastal border,2014,december,230,4,4
coastal border,2014,january,362,4,23
coastal border,2014,february,307,3,20
coastal border,2014,march,295,3,6
coastal border,2014,april,303,5,10
coastal border,2014,may,373,5,2
coastal border,2014,june,432,8,21
coastal border,2014,july,293,11,7
coastal border,2014,august,362,7,10
coastal border,2014,september,349,3,14
coastal border,2014,yearly total,3942,65,125
del rio,2014,october,1587,172,150
del rio,2014,november,1586,221,172
del rio,2014,december,1360,220,185
del rio,2014,january,1514,156,179
del rio,2014,february,2133,267,311
del rio,2014,march,2823,378,521
del rio,2014,april,2616,370,467
del rio,2014,may,3432,544,1080
del rio,2014,june,2857,453,1134
del rio,2014,july,1830,239,466
del rio,2014,august,1279,127,173
del rio,2014,september,1238,121,112
del rio,2014,yearly total,24255,3268,4950
detroit,2014,october,48,0,0
detroit,2014,november,53,0,1
detroit,2014,december,51,0,0
detroit,2014,january,34,0,0
detroit,2014,february,55,0,0
detroit,2014,march,35,0,1
detroit,2014,april,40,0,2
detroit,2014,may,49,0,2
detroit,2014,june,86,1,2
detroit,2014,july,66,0,0
detroit,2014,august,70,0,0
detroit,2014,september,60,0,0
detroit,2014,yearly total,647,1,8
el centro,2014,october,1193,39,37
el centro,2014,november,1077,43,21
el centro,2014,december,987,32,51
el centro,2014,january,1126,35,50
el centro,2014,february,1365,51,36
el centro,2014,march,1502,78,25
el centro,2014,april,1441,71,48
el centro,2014,may,1353,60,59
el centro,2014,june,1203,76,105
el centro,2014,july,1250,79,119
el centro,2014,august,1095,48,41
el centro,2014,september,919,50,38
el centro,2014,yearly total,14511,662,630
el paso,2014,october,885,64,23
el paso,2014,november,845,94,30
el paso,2014,december,738,54,29
el paso,2014,january,813,71,26
el paso,2014,february,1060,100,49
el paso,2014,march,1278,86,44
el paso,2014,april,1244,100,45
el paso,2014,may,1371,111,60
el paso,2014,june,1221,114,113
el paso,2014,july,939,81,72
el paso,2014,august,948,70,39
el paso,2014,september,997,84,32
el paso,2014,yearly total,12339,1029,562
grand forks,2014,october,59,0,1
grand forks,2014,november,45,0,3
grand forks,2014,december,36,0,0
grand forks,2014,january,42,0,1
grand forks,2014,february,49,0,2
grand forks,2014,march,85,1,1
grand forks,2014,april,65,1,1
grand forks,2014,may,63,0,0
grand forks,2014,june,71,0,0
grand forks,2014,july,81,1,0
grand forks,2014,august,73,1,3
grand forks,2014,september,98,0,2
grand forks,2014,yearly total,767,4,14
havre,2014,october,18,0,0
havre,2014,november,10,0,0
havre,2014,december,2,0,0
havre,2014,january,5,0,0
havre,2014,february,6,0,0
havre,2014,march,2,0,0
havre,2014,april,1,0,0
havre,2014,may,13,0,0
havre,2014,june,12,0,0
havre,2014,july,3,0,0
havre,2014,august,7,0,0
havre,2014,september,12,1,0
havre,2014,yearly total,91,1,0
houlton,2014,october,3,0,0
houlton,2014,november,4,0,0
houlton,2014,december,2,0,0
houlton,2014,january,3,0,0
houlton,2014,february,3,0,0
houlton,2014,march,1,0,0
houlton,2014,april,2,0,0
houlton,2014,may,13,0,0
houlton,2014,june,1,0,0
houlton,2014,july,4,0,0
houlton,2014,august,8,0,2
houlton,2014,september,1,0,0
houlton,2014,yearly total,45,0,2
laredo,2014,october,3638,301,164
laredo,2014,november,3026,270,176
laredo,2014,december,2567,245,255
laredo,2014,january,2756,223,171
laredo,2014,february,3838,298,262
laredo,2014,march,5087,455,351
laredo,2014,april,5117,477,315
laredo,2014,may,4737,470,554
laredo,2014,june,3946,389,739
laredo,2014,july,3546,297,316
laredo,2014,august,2960,202,183
laredo,2014,september,2831,173,105
laredo,2014,yearly total,44049,3800,3591
livermore,2014,october,NA,NA,NA
livermore,2014,november,NA,NA,NA
livermore,2014,december,NA,NA,NA
livermore,2014,january,NA,NA,NA
livermore,2014,february,NA,NA,NA
livermore,2014,march,NA,NA,NA
livermore,2014,april,NA,NA,NA
livermore,2014,may,NA,NA,NA
livermore,2014,june,NA,NA,NA
livermore,2014,july,NA,NA,NA
livermore,2014,august,NA,NA,NA
livermore,2014,september,NA,NA,NA
livermore,2014,yearly total,NA,NA,NA
miami,2014,october,131,3,4
miami,2014,november,146,2,2
miami,2014,december,125,0,4
miami,2014,january,228,3,17
miami,2014,february,178,0,16
miami,2014,march,113,0,5
miami,2014,april,151,3,1
miami,2014,may,199,2,0
miami,2014,june,213,4,12
miami,2014,july,134,3,5
miami,2014,august,217,7,8
miami,2014,september,199,1,13
miami,2014,yearly total,2034,28,87
nationwide total,2014,october,35915,4189,2420
nationwide total,2014,november,32432,4350,2794
nationwide total,2014,december,29979,4333,3327
nationwide total,2014,january,29233,3711,2316
nationwide total,2014,february,36933,4848,3304
nationwide total,2014,march,50168,7182,5763
nationwide total,2014,april,52061,7709,6536
nationwide total,2014,may,61357,10585,12788
nationwide total,2014,june,58613,10631,16357
nationwide total,2014,july,41350,5515,7436
nationwide total,2014,august,32099,3146,3318
nationwide total,2014,september,26511,2432,2325
nationwide total,2014,yearly total,486651,68631,68684
new orleans,2014,october,58,1,0
new orleans,2014,november,48,3,1
new orleans,2014,december,57,4,0
new orleans,2014,january,55,1,6
new orleans,2014,february,90,3,4
new orleans,2014,march,103,1,1
new orleans,2014,april,114,2,9
new orleans,2014,may,88,1,2
new orleans,2014,june,86,0,9
new orleans,2014,july,82,4,2
new orleans,2014,august,72,0,1
new orleans,2014,september,97,1,1
new orleans,2014,yearly total,950,21,36
northern border,2014,october,281,1,2
northern border,2014,november,222,1,4
northern border,2014,december,221,2,12
northern border,2014,january,203,1,7
northern border,2014,february,223,0,3
northern border,2014,march,277,3,5
northern border,2014,april,256,3,15
northern border,2014,may,301,2,14
northern border,2014,june,319,3,6
northern border,2014,july,349,5,24
northern border,2014,august,349,1,12
northern border,2014,september,337,3,10
northern border,2014,yearly total,3338,25,114
ramey,2014,october,133,3,0
ramey,2014,november,120,0,1
ramey,2014,december,48,0,0
ramey,2014,january,79,0,0
ramey,2014,february,39,0,0
ramey,2014,march,79,2,0
ramey,2014,april,38,0,0
ramey,2014,may,86,2,0
ramey,2014,june,133,4,0
ramey,2014,july,77,4,0
ramey,2014,august,73,0,1
ramey,2014,september,53,1,0
ramey,2014,yearly total,958,16,2
rio grande valley,2014,october,15192,2652,1472
rio grande valley,2014,november,14170,2809,1953
rio grande valley,2014,december,13540,2833,2264
rio grande valley,2014,january,12255,2419,1509
rio grande valley,2014,february,16808,3330,2246
rio grande valley,2014,march,25398,5215,4306
rio grande valley,2014,april,28624,5725,5098
rio grande valley,2014,may,37510,8433,10145
rio grande valley,2014,june,38446,8730,13370
rio grande valley,2014,july,24938,4149,5792
rio grande valley,2014,august,17273,2173,2467
rio grande valley,2014,september,12239,1491,1704
rio grande valley,2014,yearly total,256393,49959,52326
san diego,2014,october,2218,45,171
san diego,2014,november,2153,61,129
san diego,2014,december,2091,48,130
san diego,2014,january,2548,81,149
san diego,2014,february,2469,64,106
san diego,2014,march,3378,126,187
san diego,2014,april,3035,106,146
san diego,2014,may,2863,100,175
san diego,2014,june,2438,98,168
san diego,2014,july,2497,89,119
san diego,2014,august,2132,57,137
san diego,2014,september,2089,79,106
san diego,2014,yearly total,29911,954,1723
southwest border,2014,october,35312,4181,2414
southwest border,2014,november,31896,4344,2786
southwest border,2014,december,29528,4327,3311
southwest border,2014,january,28668,3706,2286
southwest border,2014,february,36403,4845,3281
southwest border,2014,march,49596,7176,5752
southwest border,2014,april,51502,7701,6511
southwest border,2014,may,60683,10578,12772
southwest border,2014,june,57862,10620,16330
southwest border,2014,july,40708,5499,7405
southwest border,2014,august,31388,3138,3296
southwest border,2014,september,25825,2426,2301
southwest border,2014,yearly total,479371,68541,68445
spokane,2014,october,35,0,0
spokane,2014,november,24,0,0
spokane,2014,december,15,0,0
spokane,2014,january,24,0,0
spokane,2014,february,16,0,0
spokane,2014,march,31,1,0
spokane,2014,april,17,0,1
spokane,2014,may,22,0,2
spokane,2014,june,19,0,2
spokane,2014,july,19,1,0
spokane,2014,august,16,0,0
spokane,2014,september,31,0,0
spokane,2014,yearly total,269,2,5
swanton,2014,october,44,0,1
swanton,2014,november,25,1,0
swanton,2014,december,45,1,12
swanton,2014,january,30,0,2
swanton,2014,february,21,0,0
swanton,2014,march,17,0,1
swanton,2014,april,31,1,6
swanton,2014,may,33,0,4
swanton,2014,june,57,0,2
swanton,2014,july,69,3,20
swanton,2014,august,64,0,2
swanton,2014,september,70,1,7
swanton,2014,yearly total,506,7,57
tucson,2014,october,9785,874,375
tucson,2014,november,8334,816,294
tucson,2014,december,7629,860,373
tucson,2014,january,6825,658,166
tucson,2014,february,7566,672,185
tucson,2014,march,8925,780,235
tucson,2014,april,8473,796,320
tucson,2014,may,8407,788,576
tucson,2014,june,6867,698,592
tucson,2014,july,5019,505,376
tucson,2014,august,5105,422,176
tucson,2014,september,4980,393,144
tucson,2014,yearly total,87915,8262,3812
yuma,2014,october,498,16,18
yuma,2014,november,445,20,10
yuma,2014,december,375,20,16
yuma,2014,january,553,41,24
yuma,2014,february,642,39,75
yuma,2014,march,760,42,80
yuma,2014,april,549,38,65
yuma,2014,may,636,47,115
yuma,2014,june,470,32,81
yuma,2014,july,348,17,87
yuma,2014,august,294,16,55
yuma,2014,september,332,23,49
yuma,2014,yearly total,5902,351,675
big bend,2013,october,356,15,16
big bend,2013,november,238,5,10
big bend,2013,december,213,9,9
big bend,2013,january,340,17,11
big bend,2013,february,400,8,9
big bend,2013,march,416,13,3
big bend,2013,april,473,17,11
big bend,2013,may,341,15,8
big bend,2013,june,232,6,3
big bend,2013,july,219,11,10
big bend,2013,august,218,6,7
big bend,2013,september,238,3,5
big bend,2013,yearly total,3684,125,102
blaine,2013,october,37,1,0
blaine,2013,november,34,1,1
blaine,2013,december,33,1,3
blaine,2013,january,21,2,2
blaine,2013,february,32,1,3
blaine,2013,march,31,1,2
blaine,2013,april,24,0,3
blaine,2013,may,26,1,1
blaine,2013,june,34,0,1
blaine,2013,july,32,0,8
blaine,2013,august,25,0,4
blaine,2013,september,31,0,2
blaine,2013,yearly total,360,8,30
buffalo,2013,october,106,0,1
buffalo,2013,november,54,0,0
buffalo,2013,december,60,0,0
buffalo,2013,january,53,3,0
buffalo,2013,february,47,0,4
buffalo,2013,march,47,0,0
buffalo,2013,april,73,1,0
buffalo,2013,may,54,0,1
buffalo,2013,june,78,0,0
buffalo,2013,july,83,1,10
buffalo,2013,august,58,0,2
buffalo,2013,september,83,0,1
buffalo,2013,yearly total,796,5,19
coastal border,2013,october,321,9,21
coastal border,2013,november,264,4,3
coastal border,2013,december,222,0,6
coastal border,2013,january,206,4,6
coastal border,2013,february,245,2,1
coastal border,2013,march,313,2,2
coastal border,2013,april,214,2,1
coastal border,2013,may,147,2,5
coastal border,2013,june,227,5,6
coastal border,2013,july,285,0,5
coastal border,2013,august,382,11,5
coastal border,2013,september,336,3,6
coastal border,2013,yearly total,3162,44,67
del rio,2013,october,1792,189,17
del rio,2013,november,1715,142,26
del rio,2013,december,1135,103,34
del rio,2013,january,1617,143,16
del rio,2013,february,2223,201,34
del rio,2013,march,2771,208,37
del rio,2013,april,2778,231,50
del rio,2013,may,2332,180,55
del rio,2013,june,1695,136,85
del rio,2013,july,2039,220,98
del rio,2013,august,1817,190,139
del rio,2013,september,1596,192,120
del rio,2013,yearly total,23510,2135,711
detroit,2013,october,65,0,0
detroit,2013,november,58,0,0
detroit,2013,december,64,1,1
detroit,2013,january,58,0,0
detroit,2013,february,44,0,0
detroit,2013,march,50,0,0
detroit,2013,april,49,0,0
detroit,2013,may,43,0,0
detroit,2013,june,42,0,0
detroit,2013,july,67,3,2
detroit,2013,august,59,2,2
detroit,2013,september,51,0,1
detroit,2013,yearly total,650,6,6
el centro,2013,october,1527,35,36
el centro,2013,november,1408,45,33
el centro,2013,december,1101,27,23
el centro,2013,january,1103,24,34
el centro,2013,february,1340,33,19
el centro,2013,march,2098,61,38
el centro,2013,april,1972,41,54
el centro,2013,may,1513,38,43
el centro,2013,june,1222,38,29
el centro,2013,july,1035,31,18
el centro,2013,august,1056,23,20
el centro,2013,september,931,38,18
el centro,2013,yearly total,16306,434,365
el paso,2013,october,977,84,29
el paso,2013,november,860,62,26
el paso,2013,december,629,56,30
el paso,2013,january,776,56,18
el paso,2013,february,1030,56,24
el paso,2013,march,1176,59,30
el paso,2013,april,1217,89,26
el paso,2013,may,1163,72,44
el paso,2013,june,857,50,17
el paso,2013,july,852,52,15
el paso,2013,august,852,57,31
el paso,2013,september,765,51,8
el paso,2013,yearly total,11154,744,298
grand forks,2013,october,32,1,0
grand forks,2013,november,27,0,0
grand forks,2013,december,12,0,2
grand forks,2013,january,19,1,0
grand forks,2013,february,36,0,0
grand forks,2013,march,31,0,1
grand forks,2013,april,39,0,1
grand forks,2013,may,36,1,0
grand forks,2013,june,52,0,0
grand forks,2013,july,73,0,0
grand forks,2013,august,55,1,0
grand forks,2013,september,57,0,0
grand forks,2013,yearly total,469,4,4
havre,2013,october,4,0,2
havre,2013,november,2,0,0
havre,2013,december,0,0,0
havre,2013,january,3,0,0
havre,2013,february,3,0,0
havre,2013,march,2,0,0
havre,2013,april,3,0,0
havre,2013,may,9,0,0
havre,2013,june,9,0,0
havre,2013,july,8,0,0
havre,2013,august,21,0,0
havre,2013,september,24,0,0
havre,2013,yearly total,88,0,2
houlton,2013,october,15,0,0
houlton,2013,november,1,0,0
houlton,2013,december,0,0,0
houlton,2013,january,0,0,0
houlton,2013,february,1,0,0
houlton,2013,march,2,0,0
houlton,2013,april,2,0,0
houlton,2013,may,0,0,0
houlton,2013,june,7,0,0
houlton,2013,july,1,0,0
houlton,2013,august,3,0,0
houlton,2013,september,5,0,0
houlton,2013,yearly total,37,0,0
laredo,2013,october,3829,263,105
laredo,2013,november,3537,253,114
laredo,2013,december,2835,222,101
laredo,2013,january,3280,234,110
laredo,2013,february,4628,333,98
laredo,2013,march,5903,438,178
laredo,2013,april,5621,354,139
laredo,2013,may,5338,401,155
laredo,2013,june,4029,318,110
laredo,2013,july,4212,391,211
laredo,2013,august,3944,296,193
laredo,2013,september,3593,292,174
laredo,2013,yearly total,50749,3795,1688
livermore,2013,october,NA,NA,NA
livermore,2013,november,NA,NA,NA
livermore,2013,december,NA,NA,NA
livermore,2013,january,NA,NA,NA
livermore,2013,february,NA,NA,NA
livermore,2013,march,NA,NA,NA
livermore,2013,april,NA,NA,NA
livermore,2013,may,NA,NA,NA
livermore,2013,june,NA,NA,NA
livermore,2013,july,NA,NA,NA
livermore,2013,august,NA,NA,NA
livermore,2013,september,NA,NA,NA
livermore,2013,yearly total,NA,NA,NA
miami,2013,october,248,7,12
miami,2013,november,134,2,1
miami,2013,december,130,0,2
miami,2013,january,135,1,6
miami,2013,february,89,1,0
miami,2013,march,92,0,1
miami,2013,april,157,1,1
miami,2013,may,92,2,5
miami,2013,june,113,3,6
miami,2013,july,212,0,5
miami,2013,august,171,9,2
miami,2013,september,165,2,2
miami,2013,yearly total,1738,28,43
nationwide total,2013,october,29577,2344,837
nationwide total,2013,november,28133,2399,783
nationwide total,2013,december,23680,2220,759
nationwide total,2013,january,27317,2270,855
nationwide total,2013,february,35504,2989,931
nationwide total,2013,march,47838,4124,1320
nationwide total,2013,april,48697,4209,1391
nationwide total,2013,may,44248,3989,1335
nationwide total,2013,june,34953,3391,1260
nationwide total,2013,july,33884,3613,1690
nationwide total,2013,august,34482,3732,1925
nationwide total,2013,september,32476,3553,1970
nationwide total,2013,yearly total,420789,38833,15056
new orleans,2013,october,49,2,7
new orleans,2013,november,74,1,2
new orleans,2013,december,47,0,4
new orleans,2013,january,32,3,0
new orleans,2013,february,49,1,0
new orleans,2013,march,27,0,0
new orleans,2013,april,46,1,0
new orleans,2013,may,28,0,0
new orleans,2013,june,15,0,0
new orleans,2013,july,30,0,0
new orleans,2013,august,47,2,2
new orleans,2013,september,56,1,3
new orleans,2013,yearly total,500,11,18
northern border,2013,october,327,2,17
northern border,2013,november,233,3,4
northern border,2013,december,215,2,7
northern border,2013,january,190,6,2
northern border,2013,february,217,1,7
northern border,2013,march,232,2,8
northern border,2013,april,271,1,6
northern border,2013,may,245,2,15
northern border,2013,june,290,2,4
northern border,2013,july,369,6,34
northern border,2013,august,303,3,13
northern border,2013,september,338,0,17
northern border,2013,yearly total,3230,30,134
ramey,2013,october,24,0,2
ramey,2013,november,56,1,0
ramey,2013,december,45,0,0
ramey,2013,january,39,0,0
ramey,2013,february,107,0,1
ramey,2013,march,194,2,1
ramey,2013,april,11,0,0
ramey,2013,may,27,0,0
ramey,2013,june,99,2,0
ramey,2013,july,43,0,0
ramey,2013,august,164,0,1
ramey,2013,september,115,0,1
ramey,2013,yearly total,924,5,6
rio grande valley,2013,october,8869,1067,266
rio grande valley,2013,november,8352,1106,278
rio grande valley,2013,december,6587,978,231
rio grande valley,2013,january,7190,945,236
rio grande valley,2013,february,10828,1385,310
rio grande valley,2013,march,16115,2206,484
rio grande valley,2013,april,18455,2420,606
rio grande valley,2013,may,17522,2378,637
rio grande valley,2013,june,14275,2080,698
rio grande valley,2013,july,15217,2255,1016
rio grande valley,2013,august,16253,2427,1240
rio grande valley,2013,september,14790,2306,1263
rio grande valley,2013,yearly total,154453,21553,7265
san diego,2013,october,1922,43,88
san diego,2013,november,1924,33,86
san diego,2013,december,1795,31,110
san diego,2013,january,2150,55,153
san diego,2013,february,2227,65,155
san diego,2013,march,3062,64,177
san diego,2013,april,2833,68,160
san diego,2013,may,2854,57,131
san diego,2013,june,2324,55,119
san diego,2013,july,2313,75,126
san diego,2013,august,2069,43,119
san diego,2013,september,2023,67,152
san diego,2013,yearly total,27496,656,1576
southwest border,2013,october,28929,2333,799
southwest border,2013,november,27636,2392,776
southwest border,2013,december,23243,2218,746
southwest border,2013,january,26921,2260,847
southwest border,2013,february,35042,2986,923
southwest border,2013,march,47293,4120,1310
southwest border,2013,april,48212,4206,1384
southwest border,2013,may,43856,3985,1315
southwest border,2013,june,34436,3384,1250
southwest border,2013,july,33230,3607,1651
southwest border,2013,august,33797,3718,1907
southwest border,2013,september,31802,3550,1947
southwest border,2013,yearly total,414397,38759,14855
spokane,2013,october,33,0,9
spokane,2013,november,36,0,0
spokane,2013,december,17,0,0
spokane,2013,january,19,0,0
spokane,2013,february,13,0,0
spokane,2013,march,19,1,0
spokane,2013,april,28,0,0
spokane,2013,may,20,0,0
spokane,2013,june,26,2,0
spokane,2013,july,33,0,1
spokane,2013,august,34,0,0
spokane,2013,september,21,0,0
spokane,2013,yearly total,299,3,10
swanton,2013,october,35,0,5
swanton,2013,november,21,2,3
swanton,2013,december,29,0,1
swanton,2013,january,17,0,0
swanton,2013,february,41,0,0
swanton,2013,march,50,0,5
swanton,2013,april,53,0,2
swanton,2013,may,57,0,13
swanton,2013,june,42,0,3
swanton,2013,july,72,2,13
swanton,2013,august,48,0,5
